ticket_id,content_type,category,priority,status,assigned_team,created_date,resolved_date,resolution_time_hours,region,short_description
TS-1001,Text Post,Spam,Medium,Resolved,Tier 1 Moderation,2026-04-30 01:57,2026-04-30 21:09,19.2,Europe,Account posting the same promotional link many times.
TS-1002,Image,Bullying / Harassment,Low,Open,Tier 1 Moderation,2026-05-01 23:33,,,North America,User says a group is targeting them with mean replies.
TS-1003,Text Post,Hate Speech,High,Escalated,Safety Escalations,2026-05-13 16:21,,,Africa,Comment flagged for a borderline term; needs context review.
TS-1004,Live Stream,Bullying / Harassment,Medium,Resolved,Policy Review,2026-05-02 09:09,2026-05-04 14:21,53.2,North America,Reported comment contains mocking language directed at a user.
TS-1005,Live Stream,Spam,Medium,Open,Policy Review,2026-01-20 16:21,,,MENA,Account posting the same promotional link many times.
TS-1006,Text Post,Spam,Medium,In Review,Tier 1 Moderation,2026-05-07 13:57,,,APAC,User reports repetitive advertising messages in their inbox.
TS-1007,Direct Message,Spam,Medium,Resolved,Policy Review,2026-04-26 09:09,2026-04-27 05:39,20.5,Europe,Profile flagged for suspected bot-like posting behaviour.
TS-1008,Text Post,Bullying / Harassment,Medium,Open,Tier 2 Specialist,2026-03-15 06:45,,,APAC,User reports repeated unwanted negative comments from another account.
TS-1009,Direct Message,Spam,Low,Resolved,Tier 2 Specialist,2026-05-01 06:45,2026-05-04 10:03,75.3,North America,Account mass-tagging users in unrelated promotional posts.
TS-1010,Text Post,Misinformation,Medium,Open,Policy Review,2026-03-26 13:57,,,APAC,User flags a post for spreading a misleading statistic.
TS-1011,Video,Misinformation,Medium,Resolved,Tier 1 Moderation,2026-05-02 11:33,2026-05-04 06:03,42.5,LATAM,Reporter questions an out-of-context quote in a viral post.
TS-1012,Live Stream,Misinformation,Medium,Escalated,Legal & Compliance,2026-03-29 04:21,,,MENA,Reported content links to a low-credibility source.
TS-1013,Live Stream,Misinformation,Medium,Resolved,Policy Review,2026-04-20 21:09,2026-04-22 22:03,48.9,North America,Reported content links to a low-credibility source.
TS-1014,Direct Message,Hate Speech,Medium,In Review,Tier 2 Specialist,2026-05-04 06:45,,,Europe,Reported phrase appears to demean a community; needs policy check.
TS-1015,Comment,Misinformation,Medium,Open,Tier 1 Moderation,2026-05-15 04:21,,,North America,Post shares an unverified claim about a public event.
TS-1016,Text Post,Spam,High,Resolved,Tier 2 Specialist,2026-04-12 23:33,2026-04-13 10:03,10.5,North America,Profile flagged for suspected bot-like posting behaviour.
TS-1017,Text Post,Bullying / Harassment,Medium,Resolved,Tier 2 Specialist,2026-05-05 18:45,2026-05-07 15:09,44.4,Europe,Account flagged for sending repetitive teasing messages.
TS-1018,Text Post,Spam,Low,Resolved,Policy Review,2026-04-16 23:33,2026-04-21 06:45,103.2,North America,Account posting the same promotional link many times.
TS-1019,Live Stream,Bullying / Harassment,Low,Open,Tier 1 Moderation,2025-11-24 06:45,,,MENA,Reported comment contains mocking language directed at a user.
TS-1020,Live Stream,Self-Harm,High,Escalated,Safety Escalations,2026-01-12 18:45,,,Europe,Post flagged for language suggesting the user is struggling emotionally.
TS-1021,Text Post,Bullying / Harassment,Low,In Review,Tier 1 Moderation,2026-04-21 06:45,,,North America,Reporter asks for help with persistent unkind direct messages.
TS-1022,Text Post,Bullying / Harassment,High,Escalated,Safety Escalations,2026-04-11 21:09,,,LATAM,User says a group is targeting them with mean replies.
TS-1023,Image,Spam,Low,Resolved,Tier 2 Specialist,2026-05-01 11:33,2026-05-04 00:57,61.4,Europe,Automated filter flagged bulk identical comments.
TS-1024,Live Stream,Misinformation,High,Escalated,Safety Escalations,2026-03-25 04:21,,,North America,Post shares an unverified claim about a public event.
TS-1025,Comment,Misinformation,High,Resolved,Policy Review,2025-12-17 16:21,2025-12-18 00:15,7.9,North America,User flags a post for spreading a misleading statistic.
TS-1026,Text Post,Misinformation,Low,Resolved,Tier 2 Specialist,2026-04-26 21:09,2026-04-29 10:51,61.7,MENA,Reported content links to a low-credibility source.
TS-1027,Direct Message,Spam,Medium,Resolved,Tier 2 Specialist,2026-04-26 11:33,2026-04-27 23:33,36.0,LATAM,User reports repetitive advertising messages in their inbox.
TS-1028,Comment,Spam,Low,Escalated,Safety Escalations,2026-04-01 11:33,,,APAC,Automated filter flagged bulk identical comments.
